id / code;name;adresse - strasse;adresse - nummer;adresse - zusatz;adresse - plz;adresse - ort;adresse - country;email;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfscode;ipadresse;Zusage Kostenbeitrag ja/nein;Kostenbeitrag basiert auf;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Zugehörige Institutions (comma separated);relation type
ALEXKB;Bibliothek am Guisanplatz, Koordination des Alexandria-Verbundes;Papiermühlestrasse;21A;;3003;Bern;ch;;Weibel;Christelle;;Christelle.Weibel@gs-vbs.admin.ch;f;;;ja;Summe Verbundbibliotheken;2158;4316;4316;;ja;;;;;;;;;;;;;ja;;;;BAR,BFS,BIG,BWO,CNS-FAO,IGE,LT,PSCH,RUAG-A,SECO,SOR,SWTR,VELA,ZAS;Verbund Kostenbeitrag
ABNKB;"Bibliothek und Archiv Aargau —
Kantonsbibliothek";Aargauerplatz;;;5001;Aarau;ch;;Sauvage;Audray;;Audray.Sauvage@ag.ch;g;;;ja;Summe Verbundbibliotheken;2158;4316;4316;;nein;Departement Bildung, Kultur und Sport (BKS), Zentrale Rechnungsstelle (ZRS);Postfach 2254;;"DOE-Nr. 30520004
Besteller Sauvage Audray
Organisationseinheit BAAG / ABN";5001;Aarau;ch;;;;;;ja;;;;AKB,AKS,BBB,BVU,DPA,HFGS,HMA,KAB,KH,KSBA,KSBB,KSWE,KSWO,KSZ,KURA,MMA,NAT,NKS,OGB,RDRR,SBA,STA,SVWGB;Verbund Kostenbeitrag
BGRKB;BGR;;;;;;;;Leuenberger;Martin;;"Martin.Leuenberger@kbg.gr.ch ; Urs.Wider@kbg.gr.ch";g;;;ja;Summe Verbundbibliotheken;2934;5866;5866;;;;;;;;;;;;;;;;;;;ADG,AFU,AFW,BES,BFP,BGS,BKM,BKS,BNM,DBD,DPG,E27,GBC,GLG,KBG,KBM,KMD,NHS,PDB,SNP,STG,THC,VGC;Verbund Kostenbeitrag
IDSLUKB;IDSLU - Teil;;;;;;;;Mumenthaler;Rudolf;;;;;;ja;Summe Verbundbibliotheken;2946;5892;5892;;;;;;;;;;;;;;;;;;;LUHGK,LUHSA,LUHTA,LUMH1,LUMH3,LUMHS,LUNML,LUPHS,LUPHZ,LUSAR,LUSTA,LUVOG;Verbund Kostenbeitrag
IDSBBBEKB;IDSBB BE;;;;;;;;;;;;;;;ja;Summe Verbundbibliotheken;4279;8557;8557;;;;;;;;;;;;;;;;;;;B406,B407,B418,B420,B424,B425,B429,B432,B433,B434,B437,B439,B440,B445,B513,B517,B559,B579;Verbund Kostenbeitrag
UNIBAS;Universitätsbibliothek Basel;;;;;;;;;;;;;U2001;;ja;BfS-Zahlen;12887;25773;25773;;;;;;;;;;;;;;;nein;BFK;;;A100,A115,A116,A125,A130,A140,A901;Admin
UNIBASV;Zwischensumme des Verbundes 3001 (Basel);;;;;;;;;;;;;U3001;;ja;BfS-Zahlen;2163;4326;4326;;;;;;;;;;;;;;;nein;BFK;;;A131,A145,A168,A178,A186,A188,A189,A190,A191,A192,A196,A198,A200,A201,A202,A204,A206,A208,A216,A220,A222,A224,A226,A228,A230,A232,A235,A236,A237,A238,A239,A241,A242,A243,A245,A246,A247,A248,A250,A251,A252,A255,A258,A259,A260,A261,A264,A265,A266,A268,A274,A276,A280,A282,A286,A288,A300,A304,A310,A322,A350,A353,A354,A356,A361,A362,A363,A364,A366,A367,A368,A369,A372,A373;Admin
UNIBE;Universitätsbibliothek Bern;;;;;;;;;;;;;U2002;;ja;BfS-Zahlen;10301;20601;20601;;;;;;;;;;;;;;;nein;BFK;;;B400,B404,B405,B410,B412,B415,B451,B452,B455,B464,B465,B466,B467,B470,B476,B478,B488,B490,B492,B498,B500,B501,B503,B505,B507,B521,B525,B527,B529,B531,B534,B540,B542,B550,B552,B554,B555,B557,B565,B569,B571,B575,B577,B581,B583,B589,B591,B599,B900,B901,B905,B906,E30,HAN001;Admin
UNIFR;Bibliothèque cantonale et universitaire de Fribourg;;;;;;;;;;;;;U2003;;ja;BfS-Zahlen;8159;16318;16318;300 CHF zu Total addiert, Betrag für RE01091;;;;;;;;;;;;;;nein;BFK;;;CS008,RE01001,RE01003,RE01007,RE01009,RE01010,RE01011,RE01013,RE01014,RE01015,RE01017,RE01018,RE01019,RE01021,RE01030,RE01040,RE01041,RE01042,RE01044,RE01046,RE01050,RE01051,RE01052,RE01053,RE01054,RE01055,RE01056,RE01057,RE01059,RE01060,RE01061,RE01062,RE01063,RE01071,RE01091;Admin
UNIL;Bibliothèque cantonale et universitaire de Lausanne;;;;;;;;;;;;;U2005;;ja;BfS-Zahlen;9752;19504;19504;Medienangebot gem. Angaben von J. Frey angepasst, ohne Manuskripte die nicht in swissbib sind;;;;;;;;;;;;;;nein;BFK;;;bcuc,bcud,bcudabc,bcue,bcuhep,bcup,bcur,bcuren,droit,ibcm,idheap,iuhm,lettres,pharm,pharma,sbi,ssp,sst,theol;Admin
