bibcode;labelDE;name;address - strasse;adresse - nummer;adresse - zusatz;zip;city;country;mail;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfs code;worldcat ja/nein;WorldCat Symbol;CBS Library Code;Verrechnung Kostenbeitrag (Auswahl);Kostenbeitrag basiert auf;Zusage Kostenbeitrag ja/nein;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungsadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Koordinaten;admininstitution bfs code;Kostenbeitrag über Verbund / Zugehörigkeit;Kostenbeitrag über Uni/FH - Uni;Zugehörigkeit Institution;SAP - Name 1 (35 Zeichen);SAP - Name 2 (35 Zeichen);SAP - Name 3 (35 Zeichen);SAP - Name 4 (35 Zeichen)
A100;Uni Basel - UB Hauptbibliothek;Öffentliche Bibliothek der Universität Basel;Schönbeinstrasse;18-20;;4056;Basel;ch;info-ub@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5594038, 7.5812009;U2001;;UNIBAS;UNIBAS;;;;
A115;Uni Basel - Basler Bibliografie;Basler Bibliographie;Schönbeinstr.;18-20;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBAS;UNIBAS;;;;
A116;Uni Basel - Basler Buchdrucker- und Verlegerkatalog;Basler Buchdrucker- und Verlegerkatalog;Schönbeinstr.;18-20;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBAS;UNIBAS;;;;
A125;Uni Basel - UB Wirtschaft - SWA;Universitätsbibliothek Wirtschaft - Schweizerisches Wirtschaftsarchiv;WWZ, Peter Merian-Weg ;6;;4002;Basel;ch;info-ubw-swa@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5452712, 7.5973094;U2001;;UNIBAS;UNIBAS;;;;
A130;Uni Basel - Altertumswissenschaften;Bibliothek Altertumswissenschaften, UB Bestand;Petersgraben ;51;;4051;Basel;ch;biblio-altertum@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5575739, 7.5845708;U2001;;UNIBAS;UNIBAS;;;;
A131;Uni Basel - Altertumswissenschaften;Bibliothek Altertumswissenschaften;Petersgraben ;51;;4051;Basel;ch;;;;;;g;;;ESW;8001;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;47.5575739, 7.5845708;;;;UNIBASV;;;;
A140;Uni Basel - UB Medizin;UB Medizin;Spiegelgasse ;5;;4051;Basel;ch;info-medb@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.560044, 7.5871153;U2001;;UNIBAS;UNIBAS;;;;
A145;Uni Basel - Online;;;;;;;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2001;;UNIBASV;UNIBASV;;;;
A150;ZB Solothurn - Teilbestand;Zentralbibliothek Solothurn;Bielstrasse ;39;;4502;Solothurn;ch;info@zbsolothurn.ch;Bider;Verena;Frau;verena.bider@zbsolothurn.ch;g;U4046;;CHZEN;8111;direkt;BfS-Zahlen;ja;2879;5758;5758;;ja;;;;;;;;;;;;ja;;nein;;47.2092279, 7.531289;;;;;Zentralbibliothek Solothurn;;;
A152;Mission 21, Basel;Mission 21, Basel;Missionsstr. ;21;;4055;Basel;ch;;Wirthlin;Claudia;Frau;claudia.wirthlin@mission-21.org;g;;;CHMSN;8002;direkt;Anzahl Aufnahmen;ja;150;300;300;;ja;;;;;;;;;;;;ja;;nein;;47.5594193, 7.5782953;;;;;Mission 21;;;
A154;Basler Botanische Gesellschaft (BBG);Basler Botanische Gesellschaft;Schönbeinstr. ;6;;4056;Basel;ch;;Lenzin;Heiner;Herr;heiner.lenzin@teleport.ch;g;;ja;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;47.5587546, 7.5810184;;;;;Basler Botanische Gesellschaft;;;
A160;Israelitische Gemeinde Basel;Israelitische Gemeinde, Basel;Leimenstr. ;24;;4051;Basel;ch;selig@igb.ch;;;;;g;;;CHIGB;8003;direkt;Anzahl Aufnahmen;offen;100;200;200;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5546715, 7.5825036;;;;;Israelitische Gemeinde;;;
A164;Paul Sacher Stiftung, Basel;Paul Sacher Stiftung, Basel;Münsterplatz ;4;;4051;Basel;ch;;Vollmar;Ute;Frau;direktion-pss@unibas.ch;g;;;CHULA;8004;direkt;recherchierte BfS-Zahlen;ja;264;528;528;;ja;;;;;;;;;;;;ja;;nein;;47.5572051, 7.5916513;;;;;Paul Sacher Stiftung;;;
A166;Pro Natura, Basel;Pro Natura, Basel;Dornacherstr. ;192;;4053;Basel;ch;mailbox@pronatura.ch;Steiner;Barbara;Frau;barbara.steiner@pronatura.ch;g;;;CHNTU;8005;direkt;Anzahl Aufnahmen;ja;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;47.5417198, 7.5932377;;;;;Pro Natura;;;
A168;Uni Basel - Altertumswissenschaften - Archäologie Schweiz;Bibliothek Altertumswissenschaften, Archäologie Schweiz;Petersgraben ;51;;4051;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;;;;;;;;;;;;;;;;;;;;;;;47.5575739, 7.5845708;;;;UNIBASV;;;;
A178;Uni Basel - Anatomisches Institut;Universität Basel, Anatomisches Institut;Pestalozzistr. ;20;;4056;Basel;ch;;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5647568, 7.5797668;U2001;;UNIBASV;UNIBASV;;;;
A186;Uni Basel - Biozentrum;Universität Basel, Biozentrum;Klingelbergstr. ;70;;4056;Basel;ch;bibliothek-biozentrum@unibas.ch;;;;;g;;;ESW;8001;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.5639202, 7.5799639;U2001;;UNIBASV;UNIBASV;;;;
