bibcode;labelDE;name;address - strasse;adresse - nummer;adresse - zusatz;zip;city;country;mail;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfs code;worldcat ja/nein;WorldCat Symbol;CBS Library Code;Verrechnung Kostenbeitrag (Auswahl);Kostenbeitrag basiert auf;Zusage Kostenbeitrag ja/nein;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungsadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Koordinaten
A100;Uni Basel - UB Hauptbibliothek;Öffentliche Bibliothek der Universität Basel;Schönbeinstrasse;18-20;;4056;Basel;ch;info-ub@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5594038, 7.5812009
A115;Uni Basel - Basler Bibliografie;Basler Bibliographie;Schönbeinstr.;18-20;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A116;Uni Basel - Basler Buchdrucker- und Verlegerkatalog;Basler Buchdrucker- und Verlegerkatalog;Schönbeinstr.;18-20;;4056;Basel;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A125;Uni Basel - UB Wirtschaft - SWA;Universitätsbibliothek Wirtschaft - Schweizerisches Wirtschaftsarchiv;WWZ, Peter Merian-Weg ;6;;4002;Basel;ch;info-ubw-swa@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5452712, 7.5973094
A130;Uni Basel - Altertumswissenschaften;Bibliothek Altertumswissenschaften, UB Bestand;Petersgraben ;51;;4051;Basel;ch;biblio-altertum@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.5575739, 7.5845708
A131;Uni Basel - Altertumswissenschaften;Bibliothek Altertumswissenschaften;Petersgraben ;51;;4051;Basel;ch;;;;;;g;;ja;ESW;8001;Über Leitbibliothek;;;;;;;ja;;;;;;;;;;;;;;;;47.5575739, 7.5845708
A140;Uni Basel - UB Medizin;UB Medizin;Spiegelgasse ;5;;4051;Basel;ch;info-medb@unibas.ch;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.560044, 7.5871153
A145;Uni Basel - Online;;;;;;;ch;;;;;;g;;ja;ESW;8001;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
A150;ZB Solothurn - Teilbestand;Zentralbibliothek Solothurn;Bielstrasse ;39;;4502;Solothurn;ch;info@zbsolothurn.ch;Bider;Verena;Frau;verena.bider@zbsolothurn.ch;g;U4046;ja;CHZEN;8111;direkt;BfS-Zahlen;ja;2879;5758;5758;;ja;;;;;;;;;;;;ja;;nein;;47.2092279, 7.531289
A152;Mission 21, Basel;Mission 21, Basel;Missionsstr. ;21;;4055;Basel;ch;;Wirthlin;Claudia;Frau;claudia.wirthlin@mission-21.org;g;;ja;CHMSN;8002;direkt;Anzahl Aufnahmen;ja;150;300;300;;ja;;;;;;;;;;;;ja;;nein;;47.5594193, 7.5782953
A154;Basler Botanische Gesellschaft (BBG);Basler Botanische Gesellschaft;Schönbeinstr. ;6;;4056;Basel;ch;;Stöcklin;Jürg;Herr;juerg.stoecklin@unibas.ch;g;;ja;;;direkt;Freiwilliger Beitrag;ja;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;47.5587546, 7.5810184
A160;Israelitische Gemeinde Basel;Israelitische Gemeinde, Basel;Leimenstr. ;24;;4051;Basel;ch;selig@igb.ch;;;;;g;;ja;CHIGB;8003;direkt;Anzahl Aufnahmen;offen;100;200;200;;ja;;;;;;;;;;;;nein;Gemeinwesen;nein;;47.5546715, 7.5825036
A164;Paul Sacher Stiftung, Basel;Paul Sacher Stiftung, Basel;Münsterplatz ;4;;4051;Basel;ch;;Vollmar;Ute;Frau;direktion-pss@unibas.ch;g;;ja;CHULA;8004;direkt;recherchierte BfS-Zahlen;ja;264;528;528;;ja;;;;;;;;;;;;ja;;nein;;47.5572051, 7.5916513
